Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
Anti-Streptolysin O antibodies,561202,"ASO, ASLO",Protein,P0DF96
Anti-DNase B Antibodies,453967,"Anti-DNase B, Anti-streptodornase B",Protein,Q5R2S1
Cancer Antigen 15-3,974339,"CA 15-3, Carbohydrate Antigen 15-3",Protein,P15941
Anti-cyclic Citrullinated Peptide,980496,"Anti-CCP, ACPA (Anti-citrullinated protein antibody)",Protein,N/A
C-terminal telopeptide,752433,"CTX, CTX-I, Beta-CrossLaps, C-terminal cross-linking telopeptide",Protein,P02452
N-terminal propeptide of type 1 procollagen,720537,"P1NP, PINP",Protein,P02452
N-terminal telopeptide,900877,"NTX, NTX-I, N-terminal cross-linking telopeptide",Protein,P02452
Anticardiolipin antibody,888830,"aCL, ACA",Protein,P02749
Anti-beta2 glycoprotein 1,801801,"Anti-β2GP1, Anti-Apolipoprotein H, APOH antibody",Protein,P02749
Muellerian-inhibiting factor,503290,"AMH, MIS (Müllerian-inhibiting substance)",Protein,P03971
Proinsulin C-peptide,726040,"C-peptide, Connecting peptide",Protein,P01308
Perinuclear Antineutrophil Cytoplasmic Antibodies,104346,"p-ANCA, MPO-ANCA",Protein,P05164
Carbohydrate Antigen 19-9,416215,"CA 19-9, Sialyl-Lewis A",Protein,N/A
Anti-Dengue virus antibody,434472,"Dengue IgM, Dengue IgG",Protein,P27915
Vascular Endothelial Growth Factor,972114,"VEGF, VEGFA, VPF (Vascular permeability factor)",Protein,P15692
Macrophage colony-stimulating factor 1,236672,"M-CSF, CSF-1",Protein,P09603
Amylase,899513,"AMS, alpha-amylase, AMY1A, AMY2A",Protein,P04746 / P0DUB6
Lipoprotein lipase,443968,"LPL, Lipase, clearing factor",Protein,P06858
Antineutrophil cytoplasmic antibodies against proteinase 3,172533,"c-ANCA, PR3-ANCA",Protein,P24158
Calprotectin,592412,"MRP-8/14, S100A8/A9, Calgranulin A/B",Protein,P05109 / P06702
Human Epididymis protein 4,638610,"HE4, WFDC2",Protein,Q14508
Carbohydrate Antigen 125,770450,"CA-125, MUC16",Protein,Q8WXI7
Chromogranin-A,209463,"CgA, CHGA",Protein,P10645
Epstein-Barr virus capsid antigen antibody,165509,"VCA-IgM, VCA-IgG",Protein,P03205
Ceruloplasmin,683354,"CP, Ferroxidase",Protein,P00450
Anti-gliadin antibody IgA,855661,AGA-IgA,Protein,P04724
P-Selectin,692761,"SELP, CD62P, GMP-140, PADGEM",Protein,P16109
Sex hormone-binding globulin,940763,"SHBG, TeBG (Testosterone-estradiol-binding globulin)",Protein,P04278
Des-gamma-carboxy prothrombin,286501,"DCP, PIVKA-II",Protein,P00734
Hepatitis A virus cellular receptor 1,724508,"HAVCR1, KIM-1 (Kidney Injury Molecule-1), TIM-1, TIMD-1",Protein,Q96D42
Neutrophil Gelatinase associated lipocalin,702257,"NGAL, LCN2, Siderocalin",Protein,P80188
Interleukin-18,489066,"IL-18, IGIF, IL-1g",Protein,Q14116
Hepatocyte growth factor,291270,"HGF, SF (Scatter Factor)",Protein,P14210
Cystatin-C,978080,CST3,Protein,P01034
N-acetyl-beta-D-glucosaminidase,751626,"NAG, Hexosaminidase, HEXA, HEXB",Protein,P07686 / P08173
Chemokine interferon inducible protein 10,371797,"CXCL10, IP-10, C7",Protein,P02778
Total Protein,467405,TP,Protein,N/A
Fibronectin,911861,"FN1, LETS",Protein,P02751
Nuclear Ribonucleoprotein H1 antibodies,118571,"Anti-RNP, Anti-U1-RNP",Protein,P09012
Anti-ribosomal P antibodies,384296,"Anti-P, Rib-P",Protein,P05388
Anti-Smith Antibodies,690543,Anti-Sm,Protein,P62318
Anti-double stranded DNA antibodies,878037,Anti-dsDNA,Protein,N/A
Hemoglobin subunit beta,342655,"HBB, Beta-globin",Protein,P68871
Glucose-6-phosphate 1-dehydrogenase,227643,G6PD,Protein,P11413
Gastrin,790962,GAST,Protein,P01350
Acetylcholinesterase,370412,"ACHE, AChE",Protein,P22303
Amyloid Beta 42,959255,"Aβ42, Aβ-42, Amyloid beta 1-42",Protein,P05067
Vasopressin-neurophysin 2-copeptin,980132,"Copeptin, CPP, AVP-NPII",Protein,P01185
Apolipoprotein E,124663,APOE,Protein,P02649
Beta-2-microglobulin,506825,B2M,Protein,P61769
Bone specific alkaline phosphatase,893036,"BSAP, BAP, BALP, ALPL",Protein,P05187
Brain natriuretic peptide,347078,"BNP, NPPB",Protein,P16860
Butyrylcholinesterase,323163,"BCHE, ChE",Protein,P06276
CA 19-9 tumor marker,215928,"CA 19-9, Carbohydrate Antigen 19-9, Sialyl-Lewis A",Protein,N/A
Calcitonin,859213,CALCA,Protein,P01258
Chymotrypsin,504988,"CTRC, CTRB1",Protein,P17538
Complement C1,789396,"C1, C1q, C1r, C1s",Protein,P02745
Complement C2,205385,C2,Protein,P06681
Complement C3,256209,C3,Protein,P01024
Complement C4,373678,"C4, C4a, C4b",Protein,P0C0L4 / P0C0L5
Pancreatic elastase-1,861262,"ELA1, CELA1",Protein,P08861
Ferritin,976057,"FTH1, FTL",Protein,P02792 / P02794
Gammaglutamyl transferase (GGT),210888,"GGT, GGTP, GGT1",Protein,P19440
Haptoglobin,141309,HP,Protein,P00738
Hemoglobin,754739,"Hb, Hgb",Protein,P69905 / P68871
IgA,471435,Immunoglobulin A,Protein,P01876 / P01877
IgE,456962,Immunoglobulin E,Protein,P01854
IgG,621520,Immunoglobulin G,Protein,P01857
IgM,363621,Immunoglobulin M,Protein,P01871
Insulin,828816,INS,Protein,P01308
Insulin-like growth factor 1,557381,"IGF-1, Somatomedin C",Protein,P05019
Interleukin-6,484716,IL-6,Protein,P05231
Interferon gamma,675573,"IFN-gamma, IFNG",Protein,P01579
Lactate dehydrogenase,386647,"LDH, LDHA, LDHB",Protein,P00338
Lactotransferrin,957233,"LTF, Lactoferrin",Protein,P02788
Parathyroid hormone,273244,"PTH, Parathyrin",Protein,P01270
Adrenocorticotropic hormone,791089,"ACTH, Corticotropin, POMC",Protein,P01189
Transglutaminase IgA antibody,446275,"Anti-tTG, tTG-IgA",Protein,P21980
Renin,779756,REN,Protein,P00797
Cardiac Troponin T,148498,"cTnT, TNNT2",Protein,P45379
Cardiac Troponin I,911358,"cTnI, TNNI3",Protein,P19429
Transthyretin,955156,"TTR, Prealbumin",Protein,P02766
Erythropoietin,809992,EPO,Protein,P01588
Thyroid stimulating hormone,248917,"TSH, Thyrotropin",Protein,P01222
Thyroglobulin,786611,TG,Protein,P01266
Prothrombin,737930,"F2, Coagulation factor II",Protein,P00734
Tryptase,367823,TPSAB1,Protein,Q15661
Antimullerian hormone,996653,"AMH, MIS (Müllerian-inhibiting substance)",Protein,P03971
Antithrombin,145937,"AT, SERPINC1",Protein,P01008
Sex hormone binding globulin,119595,"SHBG, TeBG",Protein,P04278
Apolipoprotein B-100,798271,"ApoB, ApoB-100",Protein,P04114
Von Willebrand Factor,946982,VWF,Protein,P04275
Apolipoprotein A1,926084,"ApoA-I, ApoA1",Protein,P02647
Clostridium difficile glutamate dehydrogenase,178584,GDH,Protein,Q59345
Transferrin receptor (soluble),148994,"sTfR, TFRC, CD71",Protein,P02786
Estrogen receptor,811068,"ER, ESR1",Protein,P03372
Progesterone receptor,365728,"PR, PGR",Protein,P06401
Fibrinogen,953838,"Fibrinogen alpha/beta/gamma chain, FGA, FGB, FGG",Protein,P02671 / P02675
Factor V,697519,"F5, Proaccelerin",Protein,P12259
Transferrin,172020,"TF, Serotransferrin",Protein,P02787
Follicle stimulating hormone,708089,"FSH, Follitropin",Protein,P01225
Hemoglobin S,313164,"HbS, Sickle hemoglobin",Protein,P68871
HER2,576462,"ERBB2, NEU, NGL, CD340",Protein,P04626
Human Chorionic Gonadotropin,965498,"hCG, Beta-hCG, CGB",Protein,P0DN86
Human growth hormone,885849,"hGH, GH, GH1, Somatotropin",Protein,P01241
Kappa/Lambda light chains,799354,"KLC, LLC, Free light chains (FLC)",Protein,N/A
Lactoferrin,159760,"LTF, Lactotransferrin",Protein,P02788
Leptin,188414,"LEP, OB",Protein,P41159
Luteinizing hormone,320733,"LH, Lutropin, LSHB",Protein,P01229
Myoglobin,594235,MB,Protein,P02144
Tau protein,768863,"MAPT, Tau",Protein,P10636
Tartrate resistant acid phosphatase,389055,"TRAP, ACP5",Protein,P13686
Procalcitonin,991037,"PCT, CALCA",Protein,P01258
Prolactin,936596,PRL,Protein,P01236
Prostate specific antigen,150687,"PSA, KLK3, Kallikrein-3",Protein,P07288
Protein C,101847,PROC,Protein,P04070
Protein S,715278,PROS1,Protein,P07225
Albumin,577385,ALB,Protein,P02768
Aspartate aminotransferase,888298,"AST, SGOT, GOT1",Protein,P17174
Aldolase,751295,"Aldolase, ALDOA, ALDOB, ALDOC",Protein,P04075 / P09972
Alanine transaminase,324159,"ALT, SGPT, GPT",Protein,P24298
Anti-gliadin antibody IgG,912268,AGA-IgG,Protein,P04724
D-dimer,575411,D-dimer,Protein,P02671
Proliferation marker protein Ki-67,997370,"Ki-67, MKI67",Protein,P46013
Urokinase-type plasminogen activator,690950,"uPA, PLAU",Protein,P00749
Plasminogen activator inhibitor 1,587194,"PAI-1, SERPINE1",Protein,P05121
Alkaline Phosphatase,640658,"ALP, ALKP, ALPL, ALPI",Protein,P05186 / P07339
C-X-C Motif Chemokine 9,102080,"CXCL9, MIG",Protein,Q07325
Carcinoembryonic antigen,617278,"CEA, CEACAM5",Protein,P06731
Cluster of Differentiation 163,129700,CD163,Protein,Q86VB7
Creatine Kinase,115297,"CK, CPK, CKM, CKB",Protein,P06732
Interleukin-10,302721,IL-10,Protein,P22301
Interleukin-1 beta,246899,"IL-1B, IL-1β",Protein,P01584
Pancreatic Amylase,638582,"AMY2A, P-Amylase",Protein,P04746
Gastrin-releasing peptide,964215,"GRP, Pro-GRP",Protein,P07492
Rheumatoid Factor,723683,RF,Protein,N/A
Squamous cell carcinoma antigen,470037,"SCCA, SERPINB3, SERPINB4",Protein,P29508 / P48635
Tumor necrosis factor,476194,"TNF, TNF-alpha, TNFA",Protein,P01375
Neurofilament Light Polypeptide,955976,"NfL, NEFL",Protein,P07196
Gamma-Enolase,332194,"Enolase 2, ENO2, NSE (Neuron-specific enolase)",Protein,P09104
Neurotensin,237825,"NTS, Pro-NT",Protein,P30990
Pancreatic Polypeptide,308813,PP,Protein,P01298
Porphobilinogen Deaminase,481697,"PBGD, HMBS",Protein,P08397
Prostatic Acid Phosphatase,154717,"PAP, ACPP",Protein,P15309
Protein S-100B,221738,S100B,Protein,P04271
SS-A/Ro Antibodies,694781,"Anti-SSA, Anti-Ro, Ro-52, Ro-60",Protein,Q8IXI5 / P19474
SS-B/La Antibodies,256729,"Anti-SSB, Anti-La",Protein,P05455
Thrombopoietin,489601,"THPO, TPO",Protein,P40225
Thyroxine-binding Globulin,596377,"TBG, SERPINA7",Protein,P05543
Beta-Galactosidase,161572,GLB1,Protein,P16278
Cytosolic Beta-Glucosidase,457369,GBA3,Protein,Q9H227
Beta-Glucuronidase,284482,GUSB,Protein,P08236
Biotinidase,815824,BTD,Protein,P43251
C1q Complement,829361,C1q,Protein,P02745
C5 Complement,637873,C5,Protein,P01031
C6 Complement,173232,C6,Protein,P13671
C7 Complement,993584,C7,Protein,P10643
C8 Complement,647123,"C8, C8A, C8B",Protein,P07360 / P07357
C9 Complement,246755,C9,Protein,P02748
Chromogranin A,848264,"CgA, CHGA",Protein,P10645
Coagulation Factor IX,188459,"F9, Christmas factor",Protein,P00740
Coagulation Factor VII,201996,"F7, Proconvertin",Protein,P08709
Coagulation Factor VIII,253711,F8,Protein,P00451
Coagulation Factor X,282365,"F10, Stuart-Prower factor",Protein,P00742
Coagulation Factor XI,863491,F11,Protein,P03951
Coagulation Factor XII,421443,"F12, Hageman factor",Protein,P00748
Angiotensin I,187650,"Ang I, Angiotensin-1",Protein,P01019
Alpha-1-Acid Glycoprotein,440372,"A1AG, ORM1, Orosomucoid",Protein,P02763
Alpha-Galactosidase,323039,GLA,Protein,P06280
Aminolevulinic Acid Dehydratase,962232,"ALAD, Porphobilinogen synthase",Protein,P13716
Adenylate kinase enzyme,542383,"AK1, AK2",Protein,P00568 / P27144
Zinc transporter 8,215404,"ZnT8, SLC30A8",Protein,Q8IWU4
Vasoactive intestinal polypeptide,709007,VIP,Protein,P01282
Uroporphyrinogen Decarboxylase,779994,UROD,Protein,P06132
Lipase,531057,"Pancreatic lipase, PNLIP",Protein,P16233
Alpha-2-Macroglobulin,482217,A2M,Protein,P01023
Galactokinase,201382,GALK1,Protein,P51570
Galactose-1-Phosphate Uridyltransferase,388876,GALT,Protein,P07902
Galectin-3,790225,LGALS3,Protein,P17931
Glucose Phosphate Isomerase,416157,"GPI, Phosphoglucose isomerase (PGI)",Protein,P06744
Pyruvate Kinase,379238,"PK, PKM, PKLR",Protein,P14618 / P30613
Hexokinase,770921,"HK1, HK2",Protein,P19367
Adenylate Kinase,777258,AK1,Protein,P00568
Phosphofructokinase,581803,"PFK, PFKP, PFKM",Protein,P08237
Phosphoglycerate Kinase,154270,PGK1,Protein,P00558
Triosephosphate Isomerase,400542,TPI1,Protein,P60174
Iduronate-2-Sulfatase,761170,"IDS, Hunter syndrome protein",Protein,P22304
Insulin-like Growth Factor 2,956442,IGF-2,Protein,P01344
Intact Fibroblast Growth Factor 23,354911,"iFGF23, FGF23",Protein,Q9GZV9
Interleukin 1-Alpha,429888,"IL-1A, IL-1α",Protein,P01583
Factor B Complement Antigen,717936,"CFB, Factor B",Protein,P00751
Ghrelin,481761,GHRL,Protein,Q9UBU3
Glucagon,382665,GCG,Protein,P01275
Human Transforming Growth Factor beta 1,970774,"TGF-β1, TGFB1",Protein,P01137
Inhibin B,389068,"INHBB, INHBA",Protein,P09529 / P12533
Insulin-like Growth Factor-Binding Protein-1,191680,IGFBP1,Protein,P08833
1-Methylhistidine,606586,"1-MHis, (S)-2-Amino-3-(1-methyl-1H-imidazol-4-yl)propanoic acid, Pi-methylhistidine",Chemical,HMDB0000001
"1,3-Diaminopropane",302542,"1,3-Propanediamine, Propane-1,3-diamine, Trimethylenediamine",Chemical,HMDB0000002
2-Hydroxybutyric acid,212374,"2-Hydroxybutanoic acid, alpha-Hydroxybutyrate, α-Hydroxybutyric acid",Chemical,HMDB0000008
2-Methoxyestrone,546414,2-MeOE1,Chemical,HMDB0000010
(R)-3-Hydroxybutyric acid,981224,"D-3-Hydroxybutyrate, (R)-beta-Hydroxybutyrate, (R)-BHB",Chemical,HMDB0000011
Deoxyuridine,117218,"dU, 2'-Deoxyuridine, Uridine deoxyribose",Chemical,HMDB0000012
Cortexolone,867801,"11-Deoxycortisol, Cortodoxone, Reichstein's substance S",Chemical,HMDB0000015
Deoxycorticosterone,669330,"21-Hydroxyprogesterone, 11-Deoxycorticosterone, DOC",Chemical,HMDB0000016
4-Pyridoxic acid,340393,4-PA,Chemical,HMDB0000017
Alpha-ketoisovaleric acid,697087,"2-Oxo-3-methylbutanoic acid, α-Ketoisovalerate, 3-Methyl-2-oxobutanoic acid",Chemical,HMDB0000019
p-Hydroxyphenylacetic acid,674837,"4-Hydroxyphenylacetic acid, PHPA",Chemical,HMDB0000020
3-Methoxytyramine,537340,"3-MT, 4-(2-Aminoethyl)-2-methoxyphenol",Chemical,HMDB0000022
(S)-3-Hydroxyisobutyric acid,218466,"(S)-3-HIB, (S)-2-Methyl-3-hydroxy-propanoate",Chemical,HMDB0000023
3-O-Sulfogalactosylceramide (d18:1/24:0),131971,"SM1, Sulfatide (d18:1/24:0)",Chemical,HMDB0000024
Tetrahydrobiopterin,631603,"BH4, THB, Sapropterin",Chemical,HMDB0000027
Biotin,803910,"Vitamin B7, Vitamin H, Coenzyme R",Chemical,HMDB0000030
Androsterone,704656,5α-Androstan-3α-ol-17-one,Chemical,HMDB0000031
7-Dehydrocholesterol,309731,"7-DHC, Provitamin D3, Cholesta-5,7-dien-3β-ol",Chemical,HMDB0000032
Carnosine,832243,"L-Carnosine, N-beta-Alanyl-L-histidine",Chemical,HMDB0000033
Adenine,559337,"6-Aminopurine, Vitamin B4",Chemical,HMDB0000034
Taurocholic acid,971225,"Taurocholate, Chola-24-oic acid N-(2-sulfoethyl)amide",Chemical,HMDB0000036
Aldosterone,568900,"Electrocortin, Aldocorten",Chemical,HMDB0000037
Dihydrobiopterin,702840,"BH2, 7,8-Dihydrobiopterin",Chemical,HMDB0000038
Butyric acid,548106,"Butanoic acid, Butyrate",Chemical,HMDB0000039
Acetic acid,839236,"Ethanoic acid, Acetate",Chemical,HMDB0000042
Betaine,257886,"Trimethylglycine, TMG, Glycine betaine",Chemical,HMDB0000043
Ascorbic acid,650118,"Vitamin C, L-Ascorbate",Chemical,HMDB0000044
Adenosine,323138,Ado,Chemical,HMDB0000050
Ammonia,422534,"NH3, Azane",Chemical,HMDB0000051
Argininosuccinic acid,396192,Argininosuccinate,Chemical,HMDB0000052
Androstenedione,290907,"4-Androstenedione, Andro",Chemical,HMDB0000053
Bilirubin,160750,Hematoidin,Chemical,HMDB0000054
Beta-Alanine,779914,"3-Aminopropanoic acid, β-Alanine",Chemical,HMDB0000056
Cyclic AMP,366694,"cAMP, 3',5'-cyclic AMP, Adenosine 3',5'-cyclic monophosphate",Chemical,HMDB0000058
Acetoacetic acid,276505,"3-Oxobutanoic acid, Acetoacetate",Chemical,HMDB0000060
L-Carnitine,264459,"Levocarnitine, Vitamin Bt",Chemical,HMDB0000062
Cortisol,357056,"Hydrocortisone, 17-Hydroxycorticosterone",Chemical,HMDB0000063
Creatine,400855,"N-Amidinosarcosine, Methylguanidoacetic acid",Chemical,HMDB0000064
Cholesterol,842995,Cholest-5-en-3β-ol,Chemical,HMDB0000067
Epinephrine,211737,"Adrenaline, L-Adrenaline",Chemical,HMDB0000068
Pipecolic acid,132088,"L-Pipecolic acid, L-Pipecolinate, (S)-Piperidine-2-carboxylic acid",Chemical,HMDB0000070
Deoxyinosine,521124,"2'-Deoxyinosine, dI",Chemical,HMDB0000071
cis-Aconitic acid,718249,"cis-Aconitate, Prop-1-ene-1,2,3-tricarboxylate",Chemical,HMDB0000072
Dopamine,934260,"3,4-Dihydroxyphenethylamine",Chemical,HMDB0000073
Dihydrouracil,849850,"5,6-Dihydrouracil",Chemical,HMDB0000076
Dehydroepiandrosterone,878504,"DHEA, Prasterone, Androstenolone",Chemical,HMDB0000077
Cysteinylglycine,347870,Cys-Gly,Chemical,HMDB0000078
Dihydrothymine,868041,"5,6-Dihydrothymine",Chemical,HMDB0000079
Deoxyguanosine,400204,"2'-Deoxyguanosine, dG",Chemical,HMDB0000085
Glycerophosphocholine,948592,"GPC, sn-Glycero-3-phosphocholine",Chemical,HMDB0000086
Dimethylamine,919002,"DMA, N-Methylmethanamine",Chemical,HMDB0000087
Cytidine,534531,Cyd,Chemical,HMDB0000089
Dimethylglycine,840777,"DMG, N,N-Dimethylglycine",Chemical,HMDB0000092
Citric acid,557473,"Citrate, 2-Hydroxypropane-1,2,3-tricarboxylic acid",Chemical,HMDB0000094
Choline,850184,(2-Hydroxyethyl)trimethylammonium,Chemical,HMDB0000097
D-Xylose,946755,Wood sugar,Chemical,HMDB0000098
L-Cystathionine,336155,Cystathionine,Chemical,HMDB0000099
Deoxyadenosine,541386,"2'-Deoxyadenosine, dA",Chemical,HMDB0000101
Galactitol,693530,Dulcitol,Chemical,HMDB0000107
Ethanol,576377,"Ethyl alcohol, Alcohol",Chemical,HMDB0000108
Gamma-Aminobutyric acid,289786,"GABA, 4-Aminobutanoic acid",Chemical,HMDB0000112
Glycolic acid,439624,"Glycolate, 2-Hydroxyacetic acid",Chemical,HMDB0000115
Homovanillic acid,750141,"HVA, 4-Hydroxy-3-methoxyphenylacetic acid",Chemical,HMDB0000118
Glyoxylic acid,792271,"Glyoxylate, Oxoacetic acid",Chemical,HMDB0000119
Folic acid,473397,"Vitamin B9, Folate, Pteroylglutamic acid",Chemical,HMDB0000121
D-Glucose,532313,"Dextrose, Grape sugar, Blood sugar",Chemical,HMDB0000122
Glycine,538649,"Gly, Aminoacetic acid",Chemical,HMDB0000123
Fructose 6-phosphate,541719,F6P,Chemical,HMDB0000124
Glutathione,805388,"GSH, L-Glutathione",Chemical,HMDB0000125
Glycerol 3-phosphate,287549,"G3P, sn-Glycerol 3-phosphate",Chemical,HMDB0000126
Guanidoacetic acid,101795,"GAA, Glycocyamine",Chemical,FDB005417
Homogentisic acid,107953,"Alkapton, 2,5-Dihydroxyphenylacetic acid",Chemical,HMDB0000130
Glycerol,519841,"Glycerin, Propane-1,2,3-triol",Chemical,HMDB0000131
Guanine,438059,"Guan, 2-Amino-6-oxopurine",Chemical,HMDB0000132
Guanosine,680658,Guo,Chemical,HMDB0000133
Fumaric acid,898414,"Fumarate, (E)-Butenedioic acid",Chemical,HMDB0000134
Glycocholic acid,434175,Glycocholate,Chemical,HMDB0000138
Glyceric acid,787820,"Glycerate, 2,3-Dihydroxypropanoic acid",Chemical,HMDB0000139
Formic acid,607196,"Methanoic acid, Formate",Chemical,HMDB0000142
D-Galactose,300956,Gal,Chemical,HMDB0000143
Estrone,400352,E1,Chemical,HMDB0000145
L-Glutamic acid,844808,"Glutamate, Glu, E",Chemical,HMDB0000148
Ethanolamine,739523,"2-Aminoethanol, Colamine",Chemical,HMDB0000149
Estradiol,164152,"E2, 17β-Estradiol",Chemical,HMDB0000151
Gentisic acid,409848,"2,5-Dihydroxybenzoic acid",Chemical,HMDB0000152
Estriol,945227,E3,Chemical,HMDB0000153
L-Malic acid,419234,"L-Malate, (S)-Hydroxybutanedioic acid",Chemical,HMDB0000156
Hypoxanthine,372194,6-Hydroxypurine,Chemical,HMDB0000157
L-Tyrosine,837280,"Tyr, Y, 4-Hydroxyphenylalanine",Chemical,HMDB0000158
L-Phenylalanine,125711,"Phe, F",Chemical,HMDB0000159
L-Alanine,950730,"Ala, A",Chemical,HMDB0000161
L-Proline,298732,"Pro, P",Chemical,HMDB0000162
Methylamine,193499,Methanamine,Chemical,HMDB0000164
L-Threonine,628858,"Thr, T",Chemical,HMDB0000167
L-Asparagine,825983,"Asn, N",Chemical,HMDB0000168
L-Isoleucine,264908,"Ile, I",Chemical,HMDB0000172
Maleic acid,466047,"Maleate, (Z)-Butenedioic acid",Chemical,HMDB0000176
L-Histidine,638355,"His, H",Chemical,HMDB0000177
L-Dopa,926403,"Levodopa, 3,4-Dihydroxy-L-phenylalanine",Chemical,HMDB0000181
L-Lysine,458654,"Lys, K",Chemical,HMDB0000182
Alpha-Lactose,507939,"α-Lactose, Milk sugar",Chemical,HMDB0000186
L-Serine,385163,"Ser, S",Chemical,HMDB0000187
L-Lactic acid,131464,"L-Lactate, (S)-2-Hydroxypropanoic acid",Chemical,HMDB0000190
L-Aspartic acid,919378,"Aspartate, Asp, D",Chemical,HMDB0000191
L-Cystine,877740,Cystine,Chemical,HMDB0000192
Isocitric acid,895998,Isocitrate,Chemical,HMDB0000193
Anserine,887147,N-beta-Alanyl-3-methyl-L-histidine,Chemical,HMDB0000194
Inosine,431603,"Ino, Hypoxanthosine",Chemical,HMDB0000195
Indoleacetic acid,808922,"IAA, Indole-3-acetic acid",Chemical,HMDB0000197
L-Acetylcarnitine,434696,ALCAR,Chemical,HMDB0000201
Methylmalonic acid,178378,MMA,Chemical,HMDB0000202
Phenylpyruvic acid,532022,Phenylpyruvate,Chemical,HMDB0000205
Oleic acid,245432,(9Z)-Octadecenoic acid,Chemical,HMDB0000207
Oxoglutaric acid,476588,"Alpha-ketoglutarate, α-Ketoglutaric acid, 2-Oxoglutarate",Chemical,HMDB0000208
Phenylacetic acid,643451,Phenylacetate,Chemical,HMDB0000209
Pantothenic acid,833962,"Vitamin B5, Pantothenate",Chemical,HMDB0000210
Myoinositol,858245,"myo-Inositol, Inositol",Chemical,HMDB0000211
Ornithine,917160,Orn,Chemical,HMDB0000214
Norepinephrine,877173,"Noradrenaline, Levarterenol",Chemical,HMDB0000216
Palmitic acid,435030,"Hexadecanoic acid, Palmitate",Chemical,HMDB0000220
Oxaloacetic acid,567348,"Oxaloacetate, 2-Oxosuccinic acid",Chemical,HMDB0000223
O-Phosphoethanolamine,137429,"Phosphoethanolamine, Ethanolamine phosphate",Chemical,HMDB0000224
Oxoadipic acid,886670,"Alpha-ketoadipic acid, α-Ketoadipate",Chemical,HMDB0000225
Orotic acid,769913,"Vitamin B13, Orotate",Chemical,HMDB0000226
Mevalonic acid,316796,Mevalonate,Chemical,HMDB0000227
Phenol,670817,"Carbolic acid, Benzenol",Chemical,HMDB0000228
Nicotinamide ribotide,994734,"NMN, Nicotinamide mononucleotide",Chemical,HMDB0000229
Quinolinic acid,334987,"Quinolate, Pyridine-2,3-dicarboxylic acid",Chemical,HMDB0000232
Testosterone,583742,T,Chemical,HMDB0000234
Thiamine,549781,"Vitamin B1, Thiamin",Chemical,HMDB0000235
Propionic acid,369157,"Propanoic acid, Propionate",Chemical,HMDB0000237
Sepiapterin,205680,"(2-Amino-6-lactyl-7,8-dihydropteridin-4-one)",Chemical,HMDB0000238
Pyridoxine,307723,Vitamin B6,Chemical,HMDB0000239
Pyruvic acid,258884,"Pyruvate, 2-Oxopropanoic acid",Chemical,HMDB0000243
Riboflavin,118605,Vitamin B2,Chemical,HMDB0000244
Porphobilinogen,949026,PBG,Chemical,HMDB0000245
Sorbitol,171809,Glucitol,Chemical,HMDB0000247
Thyroxine,487566,"T4, L-Thyroxine",Chemical,HMDB0000248
Taurine,374880,2-Aminoethanesulfonic acid,Chemical,HMDB0000251
Pregnenolone,757041,P5,Chemical,HMDB0000253
Succinic acid,347712,"Succinate, Butanedioic acid",Chemical,HMDB0000254
Thiosulfate,898165,S2O3(2-),Chemical,HMDB0000257
